Nationality,wiId,Name,homeGoals,awayGoals,gameweek0,gameweek1,gameweek2,gameweek3,gameweek4,gameweek5,gameweek6,gameweek7,gameweek8,gameweek9,gameweek10,gameweek11,gameweek12,gameweek13,gameweek14,gameweek15,gameweek16,gameweek17,gameweek18,gameweek19,gameweek20,gameweek21,gameweek22,gameweek23,gameweek24,gameweek25,gameweek26,gameweek27,gameweek28,gameweek29,gameweek30,gameweek31,gameweek32,gameweek33,gameweek34,gameweek35,gameweek36,gameweek37,gamesweekScore0,gamesweekScore1,gamesweekScore2,gamesweekScore3,gamesweekScore4,gamesweekScore5,gamesweekScore6,gamesweekScore7,gamesweekScore8,gamesweekScore9,gamesweekScore10,gamesweekScore11,gamesweekScore12,gamesweekScore13,gamesweekScore14,gamesweekScore15,gamesweekScore16,gamesweekScore17,gamesweekScore18,gamesweekScore19,gamesweekScore20,gamesweekScore21,gamesweekScore22,gamesweekScore23,gamesweekScore24,gamesweekScore25,gamesweekScore26,gamesweekScore27,gamesweekScore28,gamesweekScore29,gamesweekScore30,gamesweekScore31,gamesweekScore32,gamesweekScore33,gamesweekScore34,gamesweekScore35,gamesweekScore36,gamesweekScore37
FRA,3795,Troyes,17,15,0,1,-1,-1,0,-1,1,1,0,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,0,-1,0.058139534883720936,0.23255813953488375,0.08720930232558138,0.26162790697674415,0.0,0.0,0.20348837209302328,0.40697674418604657,0.029069767441860468,0.058139534883720936,0.058139534883720936,0.4941860465116279,0.058139534883720936,0.34883720930232553,0.08720930232558138,0.0,0.14534883720930233,0.20348837209302328,0.058139534883720936,0.029069767441860468,0.17441860465116277,0.29069767441860467,0.0,0.20348837209302328,0.17441860465116277,0.436046511627907,0.0,0.058139534883720936,0.0,0.20348837209302328,0.0,0.029069767441860468,0.40697674418604657,0.34883720930232553,0.058139534883720936,0.08720930232558138,0.17441860465116277,0.08720930232558138
FRA,3766,Olympique Lyonnais,38,49,1,1,0,0,1,-1,0,0,1,1,1,1,0,1,-1,1,1,1,1,0,1,1,-1,-1,-1,0,0,0,1,1,1,1,1,1,1,1,-1,1,0.5523255813953488,0.31976744186046513,0.23255813953488375,0.20348837209302326,0.23255813953488375,0.29069767441860467,0.29069767441860467,0.23255813953488375,0.4651162790697675,0.8430232558139534,0.4941860465116279,1.1337209302325582,0.14534883720930233,0.7848837209302326,0.14534883720930233,0.5232558139534883,0.34883720930232553,0.4651162790697675,0.6395348837209303,0.4651162790697675,0.9593023255813955,0.17441860465116277,0.14534883720930233,0.20348837209302328,0.11627906976744187,0.436046511627907,0.37790697674418605,0.29069767441860467,0.29069767441860467,0.436046511627907,0.40697674418604657,0.872093023255814,0.7267441860465116,0.9011627906976745,0.5813953488372093,0.7848837209302326,0.40697674418604657,0.7267441860465116
FRA,3767,PSG,70,38,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,-1,0,0.5523255813953488,0.7267441860465116,0.7267441860465116,0.29069767441860467,0.8430232558139534,0.058139534883720936,0.17441860465116277,0.9883720930232558,0.37790697674418605,0.26162790697674415,0.5813953488372093,0.8430232558139534,0.7848837209302326,0.4941860465116279,0.37790697674418605,0.29069767441860467,0.6104651162790697,1.017441860465116,0.6686046511627908,0.34883720930232553,0.9011627906976745,0.08720930232558138,0.8139534883720931,0.4651162790697675,0.23255813953488375,0.7848837209302326,0.31976744186046513,0.8430232558139534,0.9011627906976745,0.5232558139534883,0.8139534883720931,0.0,1.191860465116279,0.17441860465116277,0.11627906976744187,0.6395348837209303,0.26162790697674415,0.08720930232558138
FRA,3771,Olympique Marseille,44,36,1,1,0,-1,-1,1,1,1,0,0,1,1,0,1,1,0,1,-1,1,1,1,1,0,1,0,1,-1,0,1,-1,1,0,1,1,0,1,0,1,0.40697674418604657,0.31976744186046513,0.0,0.058139534883720936,0.17441860465116277,0.5813953488372093,0.5523255813953488,0.31976744186046513,0.37790697674418605,0.31976744186046513,0.14534883720930233,0.6976744186046511,0.029069767441860468,0.40697674418604657,0.5232558139534883,0.058139534883720936,0.6686046511627908,0.20348837209302326,0.6395348837209303,0.5813953488372093,0.23255813953488375,0.058139534883720936,0.08720930232558138,1.191860465116279,0.6104651162790697,0.40697674418604657,0.029069767441860468,0.0,0.6976744186046511,0.29069767441860467,0.34883720930232565,0.2616279069767442,0.7558139534883721,0.7848837209302326,0.17441860465116277,0.6686046511627908,0.7558139534883721,0.6395348837209303
FRA,3770,Nantes,15,21,-1,-1,1,0,1,1,1,1,0,1,-1,1,-1,-1,1,0,-1,1,1,-1,0,-1,1,-1,0,0,-1,0,1,0,-1,-1,0,0,-1,-1,0,1,0.20348837209302328,0.029069767441860468,0.11627906976744187,0.0,0.20348837209302328,0.14534883720930233,0.0,0.23255813953488375,0.08720930232558138,0.0,0.0,0.23255813953488375,0.08720930232558138,0.0,0.08720930232558138,0.17441860465116277,0.29069767441860467,0.0,0.40697674418604657,0.0,0.058139534883720936,0.11627906976744187,0.37790697674418605,0.37790697674418605,0.5232558139534883,0.17441860465116277,0.029069767441860468,0.11627906976744187,0.11627906976744187,0.20348837209302328,0.0,0.31976744186046513,0.0,0.23255813953488375,0.08720930232558138,0.029069767441860468,0.08720930232558138,0.14534883720930233
FRA,3775,Nice,29,24,-1,-1,1,-1,1,1,0,-1,-1,-1,-1,1,0,-1,1,1,1,1,0,1,0,1,-1,-1,-1,0,0,1,1,-1,1,0,0,1,0,-1,1,-1,0.20348837209302328,0.34883720930232553,0.7267441860465116,0.14534883720930233,0.6395348837209303,0.11627906976744187,0.029069767441860468,0.37790697674418605,0.29069767441860467,0.26162790697674415,0.08720930232558138,0.17441860465116282,0.436046511627907,0.08720930232558138,0.26162790697674415,0.4651162790697675,0.37790697674418605,0.31976744186046513,0.34883720930232553,0.6104651162790697,0.26162790697674415,0.31976744186046513,0.029069767441860468,0.058139534883720936,0.43604651162790703,0.29069767441860467,0.058139534883720936,0.5813953488372093,0.5813953488372093,0.5232558139534884,0.6395348837209303,0.17441860465116282,0.4651162790697675,0.34883720930232553,0.2906976744186046,0.26162790697674415,0.6976744186046513,0.6104651162790697
FRA,3774,Rennes,21,29,0,-1,0,-1,1,-1,0,-1,-1,1,1,1,-1,1,1,1,0,-1,-1,-1,1,1,-1,-1,1,0,1,1,0,1,0,0,-1,0,1,1,1,0,0.0,0.08720930232558138,0.5232558139534883,0.34883720930232553,0.26162790697674415,0.029069767441860468,0.14534883720930233,0.0,0.0,0.40697674418604657,0.29069767441860467,0.11627906976744187,0.11627906976744187,0.11627906976744187,0.11627906976744187,0.08720930232558138,0.11627906976744187,0.0,0.14534883720930233,0.058139534883720936,0.4941860465116279,0.0,0.23255813953488375,0.20348837209302328,0.17441860465116277,0.5523255813953488,0.20348837209302328,0.14534883720930233,0.37790697674418605,0.08720930232558138,0.4651162790697675,0.20348837209302328,0.14534883720930233,0.058139534883720936,0.31976744186046513,0.0,0.20348837209302328,0.11627906976744187
FRA,3779,Strasbourg,27,17,-1,1,0,-1,-1,-1,-1,0,0,1,0,-1,1,0,0,1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,-1,-1,0,0,0,-1,-1,0,-1,1,-1,0.0,0.26162790697674415,0.17441860465116277,0.08720930232558138,0.0,0.0,0.14534883720930233,0.0,0.31976744186046513,0.6104651162790697,0.31976744186046513,0.0,0.4651162790697675,0.14534883720930233,0.029069767441860468,0.14534883720930233,0.29069767441860467,0.029069767441860468,0.0,0.0,0.029069767441860468,0.23255813953488375,0.20348837209302328,0.0,0.11627906976744187,0.31976744186046513,0.08720930232558138,0.08720930232558138,0.058139534883720936,0.26162790697674415,0.0,0.20348837209302328,0.11627906976744187,0.058139534883720936,0.20348837209302328,0.14534883720930233,0.0,0.058139534883720936
FRA,3799,Angers,23,19,0,1,0,0,0,-1,0,0,1,-1,0,-1,0,-1,-1,-1,0,-1,1,0,1,-1,1,-1,-1,-1,1,1,0,1,-1,0,0,-1,0,1,0,0,0.029069767441860468,0.34883720930232553,0.2906976744186046,0.23255813953488375,0.11627906976744187,0.08720930232558138,0.23255813953488375,0.11627906976744187,0.14534883720930233,0.058139534883720936,0.17441860465116277,0.08720930232558138,0.0,0.0,0.31976744186046513,0.058139534883720936,0.14534883720930233,0.08720930232558138,0.26162790697674415,0.29069767441860467,0.4651162790697675,0.20348837209302328,0.20348837209302328,0.0,0.11627906976744187,0.08720930232558138,0.4651162790697675,0.43604651162790703,0.0,0.6104651162790697,0.31976744186046513,0.14534883720930233,0.08720930232558138,0.14534883720930233,0.23255813953488375,0.34883720930232553,0.029069767441860468,0.34883720930232553
FRA,3772,Bordeaux,27,26,0,1,0,1,0,1,1,-1,0,-1,-1,-1,0,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,0,-1,0,-1,-1,1,1,-1,1,1,1,1,0.34883720930232553,0.4941860465116279,0.4651162790697675,0.5813953488372092,0.029069767441860468,0.34883720930232553,0.4651162790697675,0.26162790697674415,0.23255813953488375,0.11627906976744187,0.058139534883720936,0.0,0.0,0.0,0.26162790697674415,0.17441860465116277,0.0,0.0,0.0,0.11627906976744187,0.0,0.4651162790697675,0.37790697674418605,0.17441860465116277,0.436046511627907,0.058139534883720936,0.40697674418604657,0.17441860465116277,0.17441860465116277,0.11627906976744187,0.14534883720930233,0.20348837209302328,0.6395348837209303,0.31976744186046513,0.14534883720930233,0.5813953488372093,0.6104651162790697,0.5523255813953488
FRA,3804,Dijon,35,20,-1,-1,0,1,-1,-1,0,0,-1,1,1,-1,1,1,-1,1,-1,1,-1,0,-1,-1,1,0,1,-1,1,0,0,0,-1,1,0,-1,-1,1,-1,0,0.029069767441860468,0.14534883720930233,0.0,0.08720930232558138,0.34883720930232553,0.29069767441860467,0.20348837209302328,0.37790697674418605,0.14534883720930233,0.17441860465116277,0.14534883720930233,0.029069767441860468,0.6976744186046511,0.37790697674418605,0.34883720930232553,0.4651162790697675,0.0,0.6104651162790697,0.14534883720930233,0.17441860465116277,0.0,0.14534883720930233,0.436046511627907,0.058139534883720936,0.26162790697674415,0.058139534883720936,0.26162790697674415,0.34883720930232553,0.0,0.4651162790697675,0.14534883720930233,0.17441860465116277,0.31976744186046513,0.34883720930232553,0.0,0.5813953488372093,0.26162790697674415,0.23255813953488375
FRA,3777,Metz,16,18,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,1,0,1,-1,1,-1,-1,-1,0,0,-1,0,0,-1,1,0,-1,-1,-1,-1,0.23255813953488375,0.08720930232558138,0.17441860465116277,0.0,0.17441860465116277,0.436046511627907,0.11627906976744187,0.0,0.14534883720930233,0.058139534883720936,0.0,0.058139534883720936,0.0,0.029069767441860468,0.029069767441860468,0.23255813953488375,0.058139534883720936,0.31976744186046513,0.8139534883720931,0.058139534883720936,0.7267441860465116,0.058139534883720936,0.058139534883720936,0.17441860465116277,0.0,0.17441860465116277,0.0,0.08720930232558138,0.11627906976744187,0.058139534883720936,0.11627906976744187,0.14534883720930233,0.40697674418604657,0.14534883720930233,0.17441860465116277,0.31976744186046513,0.029069767441860468,0.08720930232558138
FRA,3782,Saint-?tienne,32,15,1,1,1,-1,0,1,0,-1,1,-1,0,-1,-1,0,-1,0,-1,-1,-1,1,-1,-1,1,1,0,1,0,0,0,1,1,0,1,1,1,-1,-1,1,0.37790697674418605,0.23255813953488375,0.029069767441860468,0.11627906976744187,0.14534883720930233,0.17441860465116277,0.0,0.0,0.11627906976744187,0.0,0.17441860465116277,0.029069767441860468,0.029069767441860468,0.029069767441860468,0.058139534883720936,0.2616279069767442,0.0,0.058139534883720936,0.20348837209302328,0.029069767441860468,0.0,0.029069767441860468,0.5232558139534883,0.40697674418604657,0.436046511627907,0.14534883720930233,0.17441860465116277,0.31976744186046513,0.20348837209302328,0.7558139534883721,0.49418604651162784,0.34883720930232553,0.31976744186046513,0.37790697674418605,0.4651162790697675,0.0,0.08720930232558138,0.31976744186046513
FRA,3776,Lille,24,17,1,-1,-1,0,0,-1,-1,-1,0,-1,-1,1,1,-1,1,1,-1,-1,0,1,-1,-1,1,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,1,1,1,-1,0.37790697674418605,0.11627906976744187,0.058139534883720936,0.20348837209302328,0.029069767441860468,0.26162790697674415,0.0,0.0,0.29069767441860467,0.0,0.23255813953488375,0.40697674418604657,0.4941860465116279,0.029069767441860468,0.34883720930232553,0.11627906976744187,0.058139534883720936,0.29069767441860467,0.29069767441860467,0.08720930232558138,0.14534883720930233,0.11627906976744187,0.37790697674418605,0.17441860465116277,0.14534883720930233,0.5232558139534883,0.11627906976744187,0.31976744186046513,0.11627906976744187,0.31976744186046513,0.11627906976744187,0.14534883720930233,0.31976744186046513,0.14534883720930233,0.6104651162790697,0.6976744186046511,0.5813953488372093,0.20348837209302328
